観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在の積雪の深さ(cm),現在の積雪の深さの品質情報,現在の積雪の深さの平年比（%）,日平年値,日平年値の品質情報,日平年値の現象なし情報,極値更新,10年未満での極値更新,昨冬までの観測史上1位の値（cm）,昨冬までの観測史上1位の値の品質情報,昨冬までの観測史上1位の値観測時の年,昨冬までの観測史上1位の値観測時の月,昨冬までの観測史上1位の値観測時の日,昨冬までの2月の1位の値（cm）,昨冬までの2月の1位の値の品質情報,昨冬までの2月の1位の値観測時の年,昨冬までの2月の1位の値観測時の月,昨冬までの2月の1位の値観測時の日,統計開始年
32296,秋田県,五城目（ゴジョウメ）,,2026,02,11,04,00,39,8,111,35,8,9,,,137,8,2006,01,05,119,8,2013,02,25,1979
32311,秋田県,阿仁合（アニアイ）,,2026,02,11,04,00,123,8,129,95,8,9,,,193,8,2025,02,23,193,8,2025,02,23,1979
32402,秋田県,秋田（アキタ）,47582,2026,02,11,04,00,11,8,61,18,8,0,,,117,8,1974,02,10,117,8,1974,02,10,1890
32451,秋田県,雄和（ユウワ）,,2026,02,11,04,00,45,8,,,1,9,,,91,8,2022,02,18,91,8,2022,02,18,2018
32466,秋田県,角館（カクノダテ）,,2026,02,11,04,00,107,8,139,77,8,9,,,169,8,1986,02,26,169,8,1986,02,26,1979
32496,秋田県,大正寺（ダイショウジ）,,2026,02,11,04,00,64,8,112,57,8,9,,,152,4,1986,02,16,152,4,1986,02,16,1979
32571,秋田県,本荘（ホンジョウ）,,2026,02,11,04,00,0,8,0,18,8,9,,,93,8,1998,11,19,90,8,1984,02,05,1979
32596,秋田県,横手（ヨコテ）,,2026,02,11,04,00,73,8,82,89,8,9,,,203,8,2021,02,05,203,8,2021,02,05,1979
32626,秋田県,矢島（ヤシマ）,,2026,02,11,04,00,65,8,79,82,8,9,,,177,8,2011,01,30,175,8,2011,02,01,1979
32691,秋田県,湯沢（ユザワ）,,2026,02,11,04,00,40,8,55,73,8,9,,,175,8,2011,02,01,175,8,2011,02,01,1985
32771,秋田県,湯の岱（ユノタイ）,,2026,02,11,04,00,75,8,65,115,8,9,,,222,8,2014,03,12,200,8,2011,02,01,1979
33071,岩手県,二戸（ニノヘ）,,2026,02,11,04,00,3,8,17,18,8,9,,,87,8,2003,03,08,77,8,1987,02,03,1983
33146,岩手県,久慈（クジ）,,2026,02,11,04,00,0,8,0,9,8,9,,,73,8,1994,01,30,70,8,2014,02,16,1988
33176,岩手県,奥中山（オクナカヤマ）,,2026,02,11,04,00,59,8,92,64,8,9,,,131,8,2018,03,02,128,8,2018,02,14,1979
33186,岩手県,葛巻（クズマキ）,,2026,02,11,04,00,19,8,68,28,8,9,,,114,8,2011,01,01,101,8,1987,02,03,1984
33226,岩手県,岩手松尾（イワテマツオ）,,2026,02,11,04,00,10,8,42,24,8,9,,,75,8,2010,12,31,62,8,2006,02,08,1991
33326,岩手県,岩泉（イワイズミ）,,2026,02,11,04,00,0,8,0,15,8,9,,,97,8,2003,03,08,77,8,2014,02,16,1991
33421,岩手県,雫石（シズクイシ）,,2026,02,11,04,00,45,8,98,46,8,9,,,113,8,2006,02,10,113,8,2006,02,10,1983
33431,岩手県,盛岡（モリオカ）,47584,2026,02,11,04,00,4,8,21,19,8,0,,,81,8,1938,02,19,81,8,1938,02,19,1923
33441,岩手県,区界（クザカイ）,,2026,02,11,04,00,69,8,106,65,8,9,,,138,8,2018,02,14,138,8,2018,02,14,1985
33472,岩手県,宮古（ミヤコ）,47585,2026,02,11,04,00,,8,0,5,8,0,,,101,8,1944,03,12,92,8,1923,02,18,1883
33576,岩手県,花巻（ハナマキ）,,2026,02,11,04,00,15,8,,,1,9,,,23,8,2025,02,07,23,8,2025,02,07,2024
33631,岩手県,湯田（ユダ）,,2026,02,11,04,00,136,8,93,147,8,9,,,279,8,2013,02,25,279,8,2013,02,25,1979
33671,岩手県,遠野（トオノ）,,2026,02,11,04,00,0,8,0,13,8,9,,,50,8,2007,03,13,49,8,1987,02,03,1984
33716,岩手県,北上（キタカミ）,,2026,02,11,04,00,9,8,56,16,8,9,,,68,8,2011,02,01,68,8,2011,02,01,1984
33831,岩手県,祭畤（マツルベ）,,2026,02,11,04,00,73,8,67,109,8,9,,,206,8,1984,02,28,206,8,1984,02,28,1983
33877,岩手県,大船渡（オオフナト）,47512,2026,02,11,04,00,,8,0,1,8,0,,,32,8,1984,02,28,32,8,1984,02,28,1963
33911,岩手県,一関（イチノセキ）,,2026,02,11,04,00,0,8,0,5,8,9,,,72,8,1984,02,27,72,8,1984,02,27,1982
34012,宮城県,駒ノ湯（コマノユ）,,2026,02,11,04,00,65,8,70,93,8,9,,,165,8,2018,02,28,165,8,2018,02,28,1997
34096,宮城県,川渡（カワタビ）,,2026,02,11,04,00,4,8,12,33,8,9,,,116,8,2001,01,05,102,8,2011,02,01,1979
